CSUS	147488
CSCA	110887
CSUS	141482
CSUK	12075
CSUS	40986
CSUS	32422
CSUS	40711
CSUS	19954
CSUS	38150
CSAU	32114
CSUS	89583
CSUK	11833
CSUS	36357
CSUS	23842
CSAU	12988
CSUK	15087
CSUS	85220
CSUS	60725
CSCA	113230
CSUS	39426
CSUS	40630
CSCA	110832
CSUS	18783
CSUS	6319
CSUS	1659
CSUS	14399
CSUS	633
CSCA	110827
CSCA	110137
CSUS	37336
CSUS	36989
CSUK	12418
CSUS	72692
CSUK	4325
CSUS	21961
CSUS	2616
CSUS	6643
CSUS	65270
CSUS	85841
CSUS	36643
CSUS	15987
CSUS	32
CSUK	38897
CSUS	18902
CSCA	112471
CSUS	36340
CSUS	16052
CSUS	39495
CSUS	102701
CSUS	35484
CSUS	116624
CSUS	135434
CSUS	34141
CSUS	28338
CSUK|CSUS	8388|38057
CSUS	36123
CSUK	16521
CSUS	67007
CSAU	8761
CSUS	14452
CSAU	30236
CSUK	15406
CSAU	31940
CSUS	75194
CSUS	12229
CSUS	33356
CSUS	93
CSUS	16549
CSCA	110009
CSUS	11177
CSUS	40529
CSUS	82334
CSUS	37807
CSUK	42482
CSUS	65360
CSUS	69065
CSUS	49
CSUS	123851
CSUS	37819
CSUS	37176
CSUK|CSDE|CSUS	6931|17486|25433
CSUS	32967
CSAU	7641
CSUS	17418
CSUS	38413
CSUS	20830
CSUS	125180
CSCA	111250
CSUS	36296
CSUS	33696
CSUS	25611
CSUK	3329
CSUS	36483
CSUS	8747
CSAU	15791
CSUS	32387
CSUK	34091
CSUS	41025
CSUS	36266
CSUS	32514
CSUS	24389
CSAU	9357
CSUS	20861
CSUS	11064
CSUS	27079
CSUS	125651
CSUS	69887
CSUS	87389
CSUS	53150
CSUS	37044
CSUS	67283
CSUS	38054
CSUS	129833
CSUS	12288
CSUS|CSDE	19092|21458
CSUS	24426
CSUS	35332
CSUS	39622
CSUK	13978
CSUS	30756
CSUS	6245
CSUS	6195
CSUS	34284
CSUS	37575
CSUS	112103
CSUS	42017
CSUS	116999
CSUS	124820
CSUS	17845
CSAU	11184
CSUS	1678
CSAU	16115
CSUS	1105
CSUS	73658
CSUS	67502
CSUK	44675
CSUS	52535
CSUS	7806
CSUS	13618
CSUK	13430
CSUS	133127
CSUK	49211
CSUS	3129
